year,month,temperature
1895,01,26.69
1895,02,26.60
1895,03,39.97
1895,04,52.90
1895,05,59.94
1895,06,67.80
1895,07,71.24
1895,08,71.62
1895,09,65.57
1895,10,50.85
1895,11,39.16
1895,12,31.71
1896,01,31.48
1896,02,35.04
1896,03,38.03
1896,04,52.34
1896,05,62.46
1896,06,69.89
1896,07,73.69
1896,08,72.27
1896,09,62.94
1896,10,51.91
1896,11,38.32
1896,12,35.55
1897,01,28.17
1897,02,33.39
1897,03,38.79
1897,04,51.15
1897,05,61.18
1897,06,68.11
1897,07,73.36
1897,08,71.35
1897,09,66.40
1897,10,55.11
1897,11,40.91
1897,12,30.76
1898,01,30.67
1898,02,35.37
1898,03,41.05
1898,04,50.79
1898,05,59.94
1898,06,69.31
1898,07,73.29
1898,08,72.75
1898,09,65.46
1898,10,51.49
1898,11,38.39
1898,12,28.67
1899,01,29.68
1899,02,25.50
1899,03,37.63
1899,04,50.61
1899,05,59.90
1899,06,68.65
1899,07,73.08
1899,08,71.74
1899,09,64.80
1899,10,53.98
1899,11,44.92
1899,12,31.62
1900,01,34.11
1900,02,30.76
1900,03,41.27
1900,04,51.60
1900,05,61.74
1900,06,70.30
1900,07,73.13
1900,08,72.86
1900,09,65.14
1900,10,56.35
1900,11,41.54
1900,12,34.48
1901,01,31.62
1901,02,29.86
1901,03,40.71
1901,04,49.39
1901,05,61.18
1901,06,68.43
1901,07,76.24
1901,08,73.20
1901,09,63.25
1901,10,55.45
1901,11,41.68
1901,12,31.48
1902,01,30.06
1902,02,31.46
1902,03,41.58
1902,04,50.85
1902,05,61.99
1902,06,68.04
1902,07,72.05
1902,08,71.37
1902,09,62.76
1902,10,54.43
1902,11,43.68
1902,12,30.79
1903,01,30.88
1903,02,28.42
1903,03,42.21
1903,04,50.22
1903,05,59.54
1903,06,65.89
1903,07,71.92
1903,08,70.97
1903,09,62.73
1903,10,53.94
1903,11,40.23
1903,12,30.54
1904,01,27.55
1904,02,31.59
1904,03,41.76
1904,04,49.46
1904,05,60.13
1904,06,67.26
1904,07,71.35
1904,08,70.72
1904,09,64.96
1904,10,53.92
1904,11,43.14
1904,12,32.02
1905,01,27.10
1905,02,26.94
1905,03,45.12
1905,04,50.49
1905,05,59.14
1905,06,68.00
1905,07,71.98
1905,08,72.37
1905,09,65.95
1905,10,51.64
1905,11,42.24
1905,12,30.99
1906,01,32.88
1906,02,33.69
1906,03,36.10
1906,04,52.72
1906,05,59.58
1906,06,67.32
1906,07,72.36
1906,08,71.85
1906,09,66.25
1906,10,52.54
1906,11,40.44
1906,12,34.97
1907,01,30.69
1907,02,35.46
1907,03,45.70
1907,04,47.53
1907,05,55.89
1907,06,65.70
1907,07,72.52
1907,08,70.79
1907,09,64.22
1907,10,53.78
1907,11,40.82
1907,12,34.70
1908,01,32.45
1908,02,33.01
1908,03,43.92
1908,04,52.75
1908,05,58.82
1908,06,66.92
1908,07,73.18
1908,08,70.68
1908,09,65.59
1908,10,51.76
1908,11,42.53
1908,12,33.31
1909,01,32.31
1909,02,35.02
1909,03,40.35
1909,04,48.96
1909,05,58.14
1909,06,68.94
1909,07,72.63
1909,08,72.93
1909,09,64.40
1909,10,52.88
1909,11,45.03
1909,12,25.61
1910,01,29.61
1910,02,29.30
1910,03,49.44
1910,04,53.62
1910,05,59.22
1910,06,68.29
1910,07,74.12
1910,08,71.11
1910,09,65.68
1910,10,55.62
1910,11,41.13
1910,12,31.93
1911,01,32.90
1911,02,33.66
1911,03,44.02
1911,04,50.00
1911,05,61.21
1911,06,70.75
1911,07,72.68
1911,08,70.90
1911,09,66.09
1911,10,52.66
1911,11,37.27
1911,12,32.20
1912,01,24.76
1912,02,31.08
1912,03,35.76
1912,04,50.58
1912,05,60.48
1912,06,66.70
1912,07,72.25
1912,08,70.12
1912,09,62.73
1912,10,53.17
1912,11,42.21
1912,12,32.95
1913,01,30.47
1913,02,29.50
1913,03,38.71
1913,04,51.39
1913,05,60.13
1913,06,68.22
1913,07,73.00
1913,08,73.36
1913,09,63.64
1913,10,51.64
1913,11,45.12
1913,12,33.33
1914,01,34.50
1914,02,29.52
1914,03,40.75
1914,04,51.04
1914,05,61.14
1914,06,69.35
1914,07,74.08
1914,08,71.69
1914,09,64.58
1914,10,55.24
1914,11,43.41
1914,12,26.78
1915,01,28.44
1915,02,35.94
1915,03,36.95
1915,04,54.57
1915,05,58.17
1915,06,66.07
1915,07,71.01
1915,08,70.16
1915,09,64.42
1915,10,55.35
1915,11,43.11
1915,12,33.17
1916,01,28.22
1916,02,33.03
1916,03,42.15
1916,04,50.25
1916,05,59.31
1916,06,66.31
1916,07,74.28
1916,08,71.82
1916,09,63.50
1916,10,52.14
1916,11,40.23
1916,12,28.94
1917,01,28.27
1917,02,30.09
1917,03,38.35
1917,04,48.63
1917,05,55.13
1917,06,66.97
1917,07,74.61
1917,08,71.02
1917,09,64.09
1917,10,50.41
1917,11,43.54
1917,12,29.64
1918,01,23.86
1918,02,33.82
1918,03,45.75
1918,04,49.03
1918,05,60.80
1918,06,71.15
1918,07,72.45
1918,08,72.50
1918,09,61.92
1918,10,56.17
1918,11,40.51
1918,12,34.45
1919,01,31.82
1919,02,32.25
1919,03,40.89
1919,04,51.35
1919,05,60.03
1919,06,69.30
1919,07,74.35
1919,08,72.27
1919,09,65.64
1919,10,52.59
1919,11,39.31
1919,12,28.78
1920,01,29.23
1920,02,33.69
1920,03,40.28
1920,04,46.78
1920,05,59.31
1920,06,67.37
1920,07,72.70
1920,08,70.63
1920,09,65.44
1920,10,54.63
1920,11,39.70
1920,12,33.13
1921,01,34.36
1921,02,36.90
1921,03,46.63
1921,04,51.01
1921,05,60.10
1921,06,70.36
1921,07,74.66
1921,08,72.03
1921,09,66.54
1921,10,55.35
1921,11,42.58
1921,12,35.08
1922,01,26.80
1922,02,31.95
1922,03,40.42
1922,04,50.31
1922,05,61.18
1922,06,70.14
1922,07,73.00
1922,08,72.81
1922,09,67.28
1922,10,55.02
1922,11,41.86
1922,12,33.55
1923,01,34.59
1923,02,29.57
1923,03,38.30
1923,04,49.91
1923,05,59.52
1923,06,68.04
1923,07,73.76
1923,08,71.11
1923,09,65.07
1923,10,51.24
1923,11,42.58
1923,12,35.98
1924,01,26.26
1924,02,35.19
1924,03,37.18
1924,04,50.27
1924,05,57.90
1924,06,68.59
1924,07,71.89
1924,08,72.07
1924,09,62.74
1924,10,54.97
1924,11,42.40
1924,12,27.59
1925,01,29.08
1925,02,38.30
1925,03,44.24
1925,04,54.72
1925,05,60.01
1925,06,69.84
1925,07,74.14
1925,08,71.40
1925,09,66.67
1925,10,48.92
1925,11,40.41
1925,12,32.50
1926,01,30.31
1926,02,37.67
1926,03,39.65
1926,04,50.04
1926,05,61.02
1926,06,68.20
1926,07,73.36
1926,08,72.34
1926,09,64.11
1926,10,54.95
1926,11,40.46
1926,12,31.33
1927,01,31.55
1927,02,37.90
1927,03,42.26
1927,04,51.58
1927,05,59.76
1927,06,67.21
1927,07,72.68
1927,08,69.37
1927,09,64.98
1927,10,55.90
1927,11,44.35
1927,12,28.22
1928,01,31.98
1928,02,34.34
1928,03,43.12
1928,04,48.06
1928,05,61.52
1928,06,65.91
1928,07,73.40
1928,08,71.82
1928,09,63.27
1928,10,55.08
1928,11,41.58
1928,12,32.94
1929,01,26.31
1929,02,26.92
1929,03,43.56
1929,04,51.17
1929,05,58.86
1929,06,67.50
1929,07,73.60
1929,08,72.63
1929,09,63.41
1929,10,53.92
1929,11,38.41
1929,12,33.96
1930,01,23.54
1930,02,40.10
1930,03,40.41
1930,04,54.41
1930,05,59.23
1930,06,68.41
1930,07,75.04
1930,08,72.90
1930,09,65.75
1930,10,51.69
1930,11,41.09
1930,12,31.17
1931,01,32.99
1931,02,37.94
1931,03,39.42
1931,04,51.06
1931,05,59.43
1931,06,70.70
1931,07,75.81
1931,08,71.96
1931,09,68.13
1931,10,56.57
1931,11,43.38
1931,12,35.06
1932,01,31.55
1932,02,36.70
1932,03,37.36
1932,04,51.60
1932,05,60.51
1932,06,69.24
1932,07,74.10
1932,08,72.57
1932,09,64.69
1932,10,52.32
1932,11,40.75
1932,12,29.41
1933,01,34.30
1933,02,29.59
1933,03,41.83
1933,04,49.84
1933,05,59.83
1933,06,71.56
1933,07,75.13
1933,08,71.92
1933,09,67.73
1933,10,55.20
1933,11,42.53
1933,12,36.43
1934,01,35.08
1934,02,34.32
1934,03,42.78
1934,04,53.74
1934,05,64.71
1934,06,70.68
1934,07,76.37
1934,08,73.53
1934,09,63.84
1934,10,56.52
1934,11,45.01
1934,12,32.67
1935,01,31.51
1935,02,36.01
1935,03,43.61
1935,04,49.71
1935,05,57.33
1935,06,67.64
1935,07,75.13
1935,08,72.99
1935,09,64.80
1935,10,53.80
1935,11,39.49
1935,12,30.74
1936,01,27.36
1936,02,25.23
1936,03,43.43
1936,04,50.22
1936,05,63.46
1936,06,70.61
1936,07,76.80
1936,08,74.59
1936,09,66.36
1936,10,53.49
1936,11,39.81
1936,12,34.47
1937,01,24.84
1937,02,31.73
1937,03,38.84
1937,04,50.11
1937,05,61.93
1937,06,68.79
1937,07,74.59
1937,08,74.66
1937,09,65.70
1937,10,53.89
1937,11,40.82
1937,12,32.70
1938,01,32.14
1938,02,36.00
1938,03,45.01
1938,04,51.73
1938,05,59.85
1938,06,68.77
1938,07,73.78
1938,08,73.72
1938,09,66.63
1938,10,56.41
1938,11,39.94
1938,12,34.21
1939,01,33.91
1939,02,29.98
1939,03,42.51
1939,04,51.53
1939,05,62.71
1939,06,68.86
1939,07,74.88
1939,08,72.64
1939,09,67.37
1939,10,54.72
1939,11,42.30
1939,12,37.72
1940,01,23.83
1940,02,33.85
1940,03,41.52
1940,04,50.23
1940,05,60.85
1940,06,69.60
1940,07,74.14
1940,08,72.14
1940,09,65.35
1940,10,56.08
1940,11,39.00
1940,12,36.05
1941,01,32.20
1941,02,33.53
1941,03,39.20
1941,04,52.02
1941,05,62.33
1941,06,67.80
1941,07,73.98
1941,08,72.07
1941,09,64.53
1941,10,55.20
1941,11,42.91
1941,12,36.12
1942,01,29.84
1942,02,30.74
1942,03,41.31
1942,04,53.06
1942,05,59.09
1942,06,67.91
1942,07,73.96
1942,08,71.78
1942,09,63.66
1942,10,54.57
1942,11,43.16
1942,12,32.97
1943,01,29.41
1943,02,36.28
1943,03,38.50
1943,04,52.88
1943,05,59.72
1943,06,68.77
1943,07,74.26
1943,08,73.45
1943,09,64.33
1943,10,53.69
1943,11,40.91
1943,12,32.59
1944,01,32.02
1944,02,34.50
1944,03,38.50
1944,04,48.97
1944,05,62.02
1944,06,68.36
1944,07,72.79
1944,08,72.10
1944,09,65.26
1944,10,55.27
1944,11,41.50
1944,12,30.67
1945,01,30.49
1945,02,35.28
1945,03,45.54
1945,04,50.22
1945,05,58.28
1945,06,65.88
1945,07,72.93
1945,08,72.16
1945,09,64.99
1945,10,54.14
1945,11,42.01
1945,12,29.08
1946,01,31.39
1946,02,34.88
1946,03,46.78
1946,04,54.61
1946,05,58.75
1946,06,68.32
1946,07,73.85
1946,08,71.17
1946,09,64.54
1946,10,53.15
1946,11,41.74
1946,12,36.18
1947,01,31.78
1947,02,31.41
1947,03,38.75
1947,04,50.95
1947,05,60.13
1947,06,66.72
1947,07,72.81
1947,08,74.08
1947,09,66.54
1947,10,58.80
1947,11,38.10
1947,12,32.92
1948,01,27.88
1948,02,31.62
1948,03,38.71
1948,04,53.35
1948,05,60.24
1948,06,68.76
1948,07,73.26
1948,08,72.05
1948,09,66.07
1948,10,53.19
1948,11,41.59
1948,12,32.58
1949,01,25.92
1949,02,31.91
1949,03,40.77
1949,04,52.07
1949,05,61.72
1949,06,69.24
1949,07,74.21
1949,08,72.10
1949,09,63.73
1949,10,54.05
1949,11,45.27
1949,12,33.26
1950,01,30.43
1950,02,35.55
1950,03,38.84
1950,04,48.65
1950,05,59.45
1950,06,67.93
1950,07,71.22
1950,08,70.02
1950,09,63.50
1950,10,57.47
1950,11,40.64
1950,12,33.01
1951,01,30.20
1951,02,34.54
1951,03,38.55
1951,04,49.73
1951,05,60.76
1951,06,66.65
1951,07,73.69
1951,08,71.89
1951,09,64.09
1951,10,54.00
1951,11,38.08
1951,12,31.23
1952,01,32.00
1952,02,35.46
1952,03,37.69
1952,04,51.66
1952,05,60.58
1952,06,70.75
1952,07,74.10
1952,08,72.82
1952,09,65.89
1952,10,52.95
1952,11,39.92
1952,12,33.44
1953,01,36.43
1953,02,35.87
1953,03,43.75
1953,04,48.76
1953,05,59.18
1953,06,70.18
1953,07,74.17
1953,08,72.10
1953,09,66.16
1953,10,56.21
1953,11,43.88
1953,12,33.69
1954,01,30.90
1954,02,41.41
1954,03,39.25
1954,04,54.18
1954,05,58.59
1954,06,68.85
1954,07,75.47
1954,08,72.18
1954,09,66.45
1954,10,54.68
1954,11,44.06
1954,12,33.91
1955,01,29.35
1955,02,31.05
1955,03,40.06
1955,04,52.86
1955,05,61.29
1955,06,66.54
1955,07,74.44
1955,08,73.87
1955,09,65.88
1955,10,55.04
1955,11,38.23
1955,12,31.71
1956,01,31.01
1956,02,32.27
1956,03,40.75
1956,04,49.37
1956,05,61.77
1956,06,70.36
1956,07,73.06
1956,08,71.69
1956,09,65.10
1956,10,56.16
1956,11,40.32
1956,12,36.23
1957,01,27.07
1957,02,38.07
1957,03,41.27
1957,04,50.70
1957,05,59.65
1957,06,68.70
1957,07,74.28
1957,08,71.65
1957,09,64.18
1957,10,51.67
1957,11,40.26
1957,12,37.00
1958,01,31.60
1958,02,31.98
1958,03,37.67
1958,04,50.27
1958,05,62.42
1958,06,67.93
1958,07,72.63
1958,08,73.29
1958,09,65.43
1958,10,54.73
1958,11,43.02
1958,12,32.22
1959,01,29.50
1959,02,32.49
1959,03,41.45
1959,04,51.60
1959,05,60.84
1959,06,69.96
1959,07,73.58
1959,08,73.17
1959,09,64.74
1959,10,53.33
1959,11,38.66
1959,12,35.94
1960,01,29.46
1960,02,30.52
1960,03,35.91
1960,04,52.59
1960,05,59.31
1960,06,69.08
1960,07,73.89
1960,08,72.21
1960,09,66.45
1960,10,54.77
1960,11,42.73
1960,12,30.40
1961,01,29.71
1961,02,37.42
1961,03,43.47
1961,04,48.67
1961,05,58.87
1961,06,69.49
1961,07,73.24
1961,08,72.70
1961,09,63.41
1961,10,53.85
1961,11,40.50
1961,12,31.08
1962,01,26.96
1962,02,34.92
1962,03,37.90
1962,04,51.84
1962,05,62.24
1962,06,67.91
1962,07,72.07
1962,08,72.12
1962,09,64.18
1962,10,56.12
1962,11,43.18
1962,12,33.40
1963,01,24.44
1963,02,34.12
1963,03,43.72
1963,04,51.89
1963,05,61.02
1963,06,68.67
1963,07,73.60
1963,08,71.98
1963,09,66.34
1963,10,59.36
1963,11,44.04
1963,12,27.90
1964,01,31.53
1964,02,31.77
1964,03,38.82
1964,04,51.30
1964,05,61.43
1964,06,68.00
1964,07,74.66
1964,08,70.72
1964,09,63.70
1964,10,53.78
1964,11,42.33
1964,12,32.04
1965,01,31.80
1965,02,32.52
1965,03,35.44
1965,04,51.89
1965,05,60.80
1965,06,66.85
1965,07,72.61
1965,08,71.06
1965,09,61.77
1965,10,54.99
1965,11,44.65
1965,12,35.85
1966,01,26.38
1966,02,31.24
1966,03,43.00
1966,04,49.96
1966,05,60.19
1966,06,67.93
1966,07,75.07
1966,08,70.86
1966,09,64.54
1966,10,52.83
1966,11,43.21
1966,12,32.68
1967,01,33.10
1967,02,32.88
1967,03,43.63
1967,04,51.01
1967,05,57.63
1967,06,67.55
1967,07,72.52
1967,08,71.22
1967,09,64.06
1967,10,53.92
1967,11,41.54
1967,12,32.07
1968,01,28.94
1968,02,32.92
1968,03,43.56
1968,04,50.58
1968,05,58.17
1968,06,68.50
1968,07,72.86
1968,08,70.59
1968,09,63.90
1968,10,54.64
1968,11,41.14
1968,12,30.04
1969,01,29.37
1969,02,32.81
1969,03,36.03
1969,04,52.63
1969,05,61.41
1969,06,66.83
1969,07,74.10
1969,08,73.22
1969,09,65.55
1969,10,51.03
1969,11,41.59
1969,12,33.46
1970,01,27.14
1970,02,35.35
1970,03,38.50
1970,04,49.44
1970,05,61.07
1970,06,68.74
1970,07,73.96
1970,08,73.38
1970,09,64.58
1970,10,52.27
1970,11,41.31
1970,12,33.58
1971,01,29.41
1971,02,33.48
1971,03,39.65
1971,04,50.27
1971,05,58.26
1971,06,69.44
1971,07,72.36
1971,08,72.01
1971,09,64.33
1971,10,55.08
1971,11,41.61
1971,12,33.98
1972,01,29.93
1972,02,33.55
1972,03,44.04
1972,04,50.81
1972,05,60.53
1972,06,68.22
1972,07,72.18
1972,08,71.67
1972,09,64.44
1972,10,52.29
1972,11,38.93
1972,12,29.86
1973,01,29.59
1973,02,33.58
1973,03,44.29
1973,04,48.83
1973,05,59.23
1973,06,68.95
1973,07,73.26
1973,08,72.61
1973,09,64.40
1973,10,56.07
1973,11,42.93
1973,12,33.71
1974,01,31.01
1974,02,34.74
1974,03,44.38
1974,04,51.55
1974,05,60.37
1974,06,68.49
1974,07,74.08
1974,08,70.30
1974,09,62.31
1974,10,53.89
1974,11,42.39
1974,12,33.66
1975,01,32.34
1975,02,32.76
1975,03,38.70
1975,04,46.85
1975,05,60.35
1975,06,67.51
1975,07,73.56
1975,08,71.53
1975,09,62.89
1975,10,54.63
1975,11,42.60
1975,12,34.29
1976,01,29.93
1976,02,39.56
1976,03,42.31
1976,04,51.85
1976,05,59.04
1976,06,67.80
1976,07,72.90
1976,08,70.66
1976,09,64.18
1976,10,50.00
1976,11,38.48
1976,12,30.92
1977,01,23.09
1977,02,36.03
1977,03,43.18
1977,04,54.07
1977,05,61.66
1977,06,70.34
1977,07,74.43
1977,08,71.78
1977,09,65.93
1977,10,53.98
1977,11,42.87
1977,12,33.28
1978,01,25.86
1978,02,27.99
1978,03,41.31
1978,04,51.58
1978,05,59.74
1978,06,68.94
1978,07,73.80
1978,08,71.80
1978,09,65.84
1978,10,54.41
1978,11,41.47
1978,12,29.80
1979,01,21.90
1979,02,28.13
1979,03,42.06
1979,04,50.14
1979,05,59.13
1979,06,67.82
1979,07,73.13
1979,08,70.97
1979,09,66.09
1979,10,55.26
1979,11,39.94
1979,12,36.03
1980,01,31.12
1980,02,32.85
1980,03,39.36
1980,04,51.44
1980,05,60.28
1980,06,68.74
1980,07,75.76
1980,08,72.79
1980,09,66.24
1980,10,52.59
1980,11,42.31
1980,12,35.19
1981,01,32.41
1981,02,36.59
1981,03,42.85
1981,04,55.13
1981,05,58.96
1981,06,69.82
1981,07,73.96
1981,08,72.10
1981,09,64.92
1981,10,52.32
1981,11,44.74
1981,12,33.66
1982,01,26.22
1982,02,32.59
1982,03,42.03
1982,04,48.63
1982,05,60.80
1982,06,66.33
1982,07,73.20
1982,08,72.09
1982,09,64.04
1982,10,53.26
1982,11,41.13
1982,12,35.82
1983,01,33.12
1983,02,36.86
1983,03,42.40
1983,04,47.01
1983,05,57.94
1983,06,67.10
1983,07,73.99
1983,08,75.06
1983,09,65.59
1983,10,55.00
1983,11,43.03
1983,12,25.47
1984,01,28.83
1984,02,37.38
1984,03,40.08
1984,04,49.60
1984,05,60.08
1984,06,68.61
1984,07,73.17
1984,08,73.13
1984,09,63.14
1984,10,53.60
1984,11,41.54
1984,12,34.54
1985,01,26.31
1985,02,30.87
1985,03,43.48
1985,04,54.36
1985,05,62.08
1985,06,68.11
1985,07,74.05
1985,08,71.02
1985,09,62.73
1985,10,54.30
1985,11,39.51
1985,12,28.81
1986,01,34.68
1986,02,35.85
1986,03,46.18
1986,04,52.86
1986,05,61.09
1986,06,70.41
1986,07,73.51
1986,08,71.73
1986,09,63.70
1986,10,54.01
1986,11,41.40
1986,12,34.43
1987,01,31.44
1987,02,37.38
1987,03,42.57
1987,04,53.53
1987,05,62.96
1987,06,70.25
1987,07,73.27
1987,08,71.87
1987,09,65.25
1987,10,52.95
1987,11,43.97
1987,12,34.54
1988,01,27.79
1988,02,33.69
1988,03,42.40
1988,04,51.82
1988,05,61.21
1988,06,70.88
1988,07,74.79
1988,08,73.67
1988,09,64.60
1988,10,53.96
1988,11,43.29
1988,12,33.46
1989,01,34.09
1989,02,29.17
1989,03,42.67
1989,04,52.88
1989,05,60.46
1989,06,68.13
1989,07,74.23
1989,08,71.31
1989,09,64.08
1989,10,54.34
1989,11,42.93
1989,12,27.73
1990,01,36.50
1990,02,36.70
1990,03,44.74
1990,04,52.52
1990,05,58.86
1990,06,70.23
1990,07,73.26
1990,08,72.28
1990,09,67.35
1990,10,53.98
1990,11,44.92
1990,12,30.83
1991,01,29.48
1991,02,39.81
1991,03,43.32
1991,04,52.54
1991,05,61.97
1991,06,69.08
1991,07,73.89
1991,08,72.99
1991,09,64.90
1991,10,54.75
1991,11,39.43
1991,12,35.74
1992,01,33.62
1992,02,39.70
1992,03,44.71
1992,04,52.54
1992,05,61.16
1992,06,67.44
1992,07,71.22
1992,08,69.84
1992,09,64.67
1992,10,54.54
1992,11,40.06
1992,12,31.75
1993,01,30.47
1993,02,31.14
1993,03,41.79
1993,04,49.91
1993,05,60.89
1993,06,67.21
1993,07,72.16
1993,08,71.89
1993,09,63.30
1993,10,52.97
1993,11,39.22
1993,12,34.20
1994,01,29.34
1994,02,31.87
1994,03,44.51
1994,04,52.66
1994,05,60.67
1994,06,70.95
1994,07,73.62
1994,08,72.21
1994,09,65.55
1994,10,54.21
1994,11,42.57
1994,12,36.23
1995,01,33.08
1995,02,37.36
1995,03,43.34
1995,04,49.41
1995,05,58.64
1995,06,67.55
1995,07,73.54
1995,08,74.32
1995,09,64.69
1995,10,54.45
1995,11,42.04
1995,12,33.42
1996,01,29.70
1996,02,35.69
1996,03,39.02
1996,04,50.65
1996,05,60.98
1996,06,69.87
1996,07,73.63
1996,08,72.43
1996,09,63.46
1996,10,53.65
1996,11,39.63
1996,12,33.91
1997,01,29.95
1997,02,36.05
1997,03,44.67
1997,04,47.91
1997,05,59.40
1997,06,68.31
1997,07,73.18
1997,08,71.74
1997,09,66.42
1997,10,53.92
1997,11,40.87
1997,12,34.00
1998,01,34.99
1998,02,38.71
1998,03,41.34
1998,04,51.06
1998,05,62.47
1998,06,68.13
1998,07,75.49
1998,08,74.03
1998,09,68.99
1998,10,55.13
1998,11,44.91
1998,12,35.55
1999,01,33.78
1999,02,39.49
1999,03,42.80
1999,04,51.55
1999,05,60.06
1999,06,68.31
1999,07,74.30
1999,08,72.91
1999,09,64.35
1999,10,54.75
1999,11,48.11
1999,12,36.10
2000,01,33.57
2000,02,39.78
2000,03,46.04
2000,04,52.59
2000,05,63.14
2000,06,69.03
2000,07,73.87
2000,08,74.05
2000,09,65.57
2000,10,55.09
2000,11,38.03
2000,12,28.44
2001,01,31.35
2001,02,33.98
2001,03,41.49
2001,04,53.08
2001,05,62.82
2001,06,69.24
2001,07,74.48
2001,08,74.30
2001,09,65.70
2001,10,54.37
2001,11,47.41
2001,12,36.12
2002,01,34.48
2002,02,36.39
2002,03,39.54
2002,04,53.49
2002,05,59.29
2002,06,70.86
2002,07,75.85
2002,08,72.86
2002,09,66.85
2002,10,51.84
2002,11,41.97
2002,12,35.08
2003,01,32.81
2003,02,32.79
2003,03,43.30
2003,04,51.89
2003,05,60.98
2003,06,68.05
2003,07,75.47
2003,08,74.66
2003,09,64.96
2003,10,56.55
2003,11,42.35
2003,12,35.29
2004,01,30.34
2004,02,33.57
2004,03,47.41
2004,04,52.68
2004,05,61.92
2004,06,68.09
2004,07,72.90
2004,08,70.16
2004,09,65.66
2004,10,55.36
2004,11,43.99
2004,12,35.06
2005,01,33.39
2005,02,37.94
2005,03,42.31
2005,04,52.27
2005,05,59.56
2005,06,69.21
2005,07,75.31
2005,08,73.20
2005,09,67.37
2005,10,55.38
2005,11,45.01
2005,12,32.70
2006,01,38.93
2006,02,34.83
2006,03,42.62
2006,04,55.26
2006,05,62.28
2006,06,70.75
2006,07,76.41
2006,08,73.40
2006,09,63.30
2006,10,52.59
2006,11,44.08
2006,12,36.57
2007,01,31.35
2007,02,32.41
2007,03,47.66
2007,04,50.54
2007,05,62.33
2007,06,69.87
2007,07,74.70
2007,08,74.64
2007,09,66.43
2007,10,56.68
2007,11,44.01
2007,12,33.22
2008,01,30.27
2008,02,34.70
2008,03,41.86
2008,04,50.40
2008,05,59.36
2008,06,69.60
2008,07,74.08
2008,08,72.28
2008,09,65.21
2008,10,53.98
2008,11,43.92
2008,12,31.87
2009,01,31.05
2009,02,36.77
2009,03,42.87
2009,04,50.92
2009,05,61.65
2009,06,68.54
2009,07,72.63
2009,08,71.89
2009,09,66.38
2009,10,50.50
2009,11,45.84
2009,12,29.64
2010,01,30.67
2010,02,31.80
2010,03,43.57
2010,04,53.24
2010,05,59.88
2010,06,70.48
2010,07,74.71
2010,08,74.05
2010,09,66.49
2010,10,56.14
2010,11,42.31
2010,12,32.47
2011,01,29.71
2011,02,33.04
2011,03,43.07
2011,04,51.96
2011,05,59.13
2011,06,69.82
2011,07,76.14
2011,08,75.00
2011,09,66.09
2011,10,55.09
2011,11,43.75
2011,12,35.40
2012,01,36.12
2012,02,37.51
2012,03,50.41
2012,04,54.68
2012,05,63.45
2012,06,70.54
2012,07,76.77
2012,08,73.80
2012,09,66.31
2012,10,53.89
2012,11,44.01
2012,12,35.92
2013,01,32.25
2013,02,34.77
2013,03,40.91
2013,04,49.68
2013,05,60.85
2013,06,70.39
2013,07,74.21
2013,08,72.99
2013,09,66.96
2013,10,53.44
2013,11,41.61
2013,12,31.06
2014,01,30.56
2014,02,32.13
2014,03,40.51
2014,04,51.69
2014,05,61.27
2014,06,69.58
2014,07,73.29
2014,08,72.25
2014,09,66.20
2014,10,56.93
2014,11,39.25
2014,12,36.81
2015,01,33.08
2015,02,32.99
2015,03,45.39
2015,04,53.24
2015,05,60.84
2015,06,71.37
2015,07,73.92
2015,08,72.95
2015,09,68.54
2015,10,57.24
2015,11,44.60
2015,12,38.66
2016,01,32.22
2016,02,39.47
2016,03,47.50
2016,04,53.19
2016,05,60.33
2016,06,71.76
2016,07,75.22
2016,08,73.53
2016,09,67.12
2016,10,57.72
2016,11,47.97
2016,12,32.95
2017,01,33.57
2017,02,41.18
2017,03,46.15
2017,04,53.80
2017,05,60.57
2017,06,70.36
2017,07,75.70
2017,08,72.01
2017,09,66.27
2017,10,55.69
2017,11,45.03
2017,12,34.29
2018,01,32.16
2018,02,35.51
2018,03,42.73
2018,04,49.03
2018,05,65.52
2018,06,71.55
2018,07,75.45
2018,08,73.51
2018,09,67.53
2018,10,53.71
2018,11,40.01
2018,12,35.51
2019,01,32.56
2019,02,31.84
2019,03,40.28
2019,04,52.84
2019,05,59.49
2019,06,68.72
2019,07,74.62
2019,08,73.74
2019,09,68.43
2019,10,52.05
2019,11,41.11
2019,12,36.43
2020,01,35.55
2020,02,36.18
2020,03,46.08
2020,04,50.88
2020,05,60.91
2020,06,70.29
2020,07,75.65
2020,08,74.71
2020,09,65.91
2020,10,54.28
2020,11,46.31
2020,12,35.71
2021,01,34.59
2021,02,30.61
2021,03,45.52
2021,04,51.87
2021,05,60.35
2021,06,72.59
2021,07,75.42
2021,08,73.98
2021,09,67.80
2021,10,56.97
2021,11,45.07
2021,12,39.34
2022,01,31.17
2022,02,33.69
2022,03,44.08
2022,04,50.65
2022,05,61.88
2022,06,70.79
2022,07,76.41
2022,08,74.59
2022,09,68.02
2022,10,55.26
2022,11,40.89
2022,12,33.06
2023,01,35.13
2023,02,36.52
