State,Winter,Spring,Summer,Fall
AK,,,,
AL,0.761942257,-0.114491086,-0.595164955,-0.248856393
AR,0.802024747,0.488408291,0.061598162,-0.093700787
AZ,2.576190476,2.711827723,2.477676183,2.362804649
CA,2.712260967,2.728725428,2.917369875,3.02392201
CO,3.243157105,2.72093509,2.583778498,2.087064117
CT,4.835845519,2.830122369,3.038565078,2.785639295
DE,4.034458193,2.825188567,2.966097561,2.700037495
FL,2.327746532,1.731278965,1.730831627,2.088338958
GA,1.978740157,0.365487983,-0.028154911,0.568128984
IA,2.327409074,1.586504545,0.257219174,0.687326584
ID,2.57007874,1.877798716,2.078003749,1.367191601
IL,2.172290964,2.145305467,0.488773537,1.040232471
IN,2.206899138,1.952369671,0.17621417,0.952305962
KS,2.677165354,1.930697588,0.849337236,0.728271466
KY,1.454818148,0.943608896,-0.268878507,0.104949381
LA,0.548181477,0.348506996,0.379825394,0.441732283
MA,4.532508436,2.559757891,3.097806389,2.822084739
MD,3.454930634,2.257871573,2.355410226,2.134833146
ME,5.332995876,2.489851859,2.774863077,2.805886764
MI,4.41376078,3.175170826,2.140241985,2.129021372
MN,4.922347207,2.858490241,1.835289738,2.141169854
MO,1.95808024,1.410869773,0.034305804,0.083952006
MS,0.566554181,0.082960917,-0.355589446,-0.150131234
MT,4.102924634,2.701947033,2.023135877,1.701874766
NC,2.06104237,0.90043605,0.768489276,0.862992126
ND,5.82272216,2.589247677,1.949768926,2.020772403
NE,3.171691039,2.07708171,1.027337187,1.099775028
NH,4.759992501,2.525390221,2.555981695,2.570828646
NJ,5.051856018,3.203867063,3.363968748,3.200412448
NM,2.46951631,2.234367308,2.111876492,1.90952381
NV,2.781327334,2.286126421,2.719212364,2.212448444
NY,3.848631421,2.040033583,1.469310398,1.897150356
OH,2.413348331,1.917121603,0.681390485,1.278440195
OK,1.555080615,0.856922941,0.086850137,-0.116985377
OR,3.339107612,2.281297315,3.062150244,2.377952756
PA,3.180352456,1.585785949,1.173655874,1.505774278
RI,4.964529434,3.255735631,4.058240417,3.213085864
SC,1.975778028,0.773795462,0.559041247,0.744619423
SD,4.24071991,2.045909649,1.608974936,1.451968504
TN,1.165541807,0.452233424,-0.004658974,0.089013873
TX,1.964191976,1.654379712,0.621939782,1.071353581
UT,3.323509561,2.643924002,3.255359677,2.590701162
VA,2.433370829,1.310081973,1.042604965,1.104649419
VT,4.783952006,2.517755737,2.078800867,2.467566554
WA,2.901387327,1.333408968,2.238524218,1.387139108
WI,4.128571429,2.185894224,1.076651409,1.441094863
WV,1.728871391,0.97502961,0.356601905,0.790776153
WY,3.611248594,2.883274653,2.370373434,2.04728159